doc,start,end,surfaceform,class,link,
1,148,162,Marc Langebeck,Person,http://de.dbpedia.org/resource/Marc_Langebeck,
1,17,45,Brandenburger Havelland,Location,http://de.dbpedia.org/resource/Havelland,
2,32,52,Berliner Landgericht,Location,http://de.dbpedia.org/resource/Landgericht_Berlin,
3,260,271,Rudi Bommer,Person,http://de.dbpedia.org/resource/Rudi_Bommer,
3,337,344,Lausitz,Location,http://de.dbpedia.org/resource/Lausitz,
3,559,565,Berlin,Location,http://de.dWbpedia.org/resource/Berlin,
3,570,581,Brandenburg,Location,http://de.dbpedia.org/resource/Brandenburg,
3,588,598,Hertha BSC,Organisation,http://de.dbpedia.org/resource/Hertha_BSC,
3,736,748,Union Berlin,Organisation,http://de.dbpedia.org/resource/1._FC_Union_Berlin,
3,623,637,VfR Neumünster,Organisation,http://de.dbpedia.org/resource/VfR_Neum%C3%BCnster,
3,644,661,Schlewig-Holstein,Location,http://de.dbpedia.org/resource/Schleswig-Holstein,
3,926,939,Martin Dausch,Person,http://de.dbpedia.org/resource/Martin_Dausch,
3,806,821,Alten Försterei,Location,http://de.dbpedia.org/resource/Stadion_An_der_Alten_F%C3%B6rsterei,
3,1145,1160,Benjamin Köhler,Person,http://dbpedia.org/resource/Benjamin_K%C3%B6hler,
3,1193,1214,Frankfurter Eintracht,Organisation,http://de.dbpedia.org/resource/Eintracht_Frankfurt,
3,1363,1371,Hannover,Location,http://de.dbpedia.org/resource/Hannover,
3,1713,1720,Neuhaus,Person,http://de.dbpedia.org/resource/Uwe_Neuhaus,
3,1442,1450,Kroatien,Location,http://de.dbpedia.org/resource/Kroatien,
4,63,70,Europas,Location,http://de.dbpedia.org/resource/Europa,
4,395,401,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
4,678,686,Portugal,Location,http://de.dbpedia.org/resource/Portugal,
4,706,714,Mosambik,Location,http://de.dbpedia.org/resource/Mosambik,
4,1636,1639,DDR,Location,http://de.dbpedia.org/resource/Deutsche_Demokratische_Republik,
4,1664,1667,BRD,Location,http://de.dbpedia.org/resource/BRD,
5,333,351,Fußball-Bundesliga,Organisation,http://de.dbpedia.org/resource/Bundesliga,
5,18,60,Internationalen Speedminton-Verbandes,Organisation,http://de.dbpedia.org/resource/Internationale_Speed-Badminton_Organisation,
6,60,71,Brandenburg,Location,http://dbpedia.org/resource/Brandenburg,
6,131,149,Berliner Mauerpark,Location,http://de.dbpedia.org/resource/Mauerpark,
6,353,364,Schöneweide,Location,http://de.dbpedia.org/resource/Sch%C3%B6neweide,
6,597,601,Kiez,Location,http://de.dbpedia.org/resource/Kiez,
6,49,55,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
7,32,53,Kronprinzessin Amalia,Person,http://de.dbpedia.org/resource/Catharina-Amalia_van_Oranje,
7,85,97,Niederlanden,Location,http://de.dbpedia.org/resource/Niederlande,
7,153,165,Neuen Kirche,Location,http://de.dbpedia.org/resource/Nieuwe_Kerk_(Amsterdam),
7,169,178,Amsterdam,Location,http://de.dbpedia.org/resource/Amsterdam,
7,238,254,Holländerviertel,Location,http://de.dbpedia.org/resource/Holl%C3%A4ndisches_Viertel,
7,258,265,Potsdam,Location,http://de.dbpedia.org/resource/Postdam,
7,278,293,Prenzlauer Berg,Location,http://de.dbpedia.org/resource/Berlin-Prenzlauer_Berg,
7,646,653,Holland,Location,http://de.dbpedia.org/resource/Holland,
7,1242,1249,Holland,Location,http://de.dbpedia.org/resource/Holland,
7,1070,1077,Holland,Location,http://de.dbpedia.org/resource/Holland,
7,854,869,Hendrik Marsman,Person,http://de.dbpedia.org/resource/Hendrik_Marsman,
7,1500,1515,Prenzlauer Berg,Location,http://de.dbpedia.org/resource/Berlin-Prenzlauer_Berg,
7,1717,1729,Rudi Carrell,Person,http://de.dbpedia.org/resource/Rudi_Carrell,
7,1493,1499,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
7,2005,2011,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
7,897,903,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
8,244,262,Lausitzer Seenland,Location,http://de.dbpedia.org/resource/Lausitzer_Seenland,
8,528,541,Senftenberger,Location,http://de.dbpedia.org/resource/Senftenberger_See,
8,553,569,Geierswalder See,Location,http://de.dbpedia.org/resource/Geierswalder_See,
9,640,656,Tempelhofer Feld,Location,http://de.dbpedia.org/resource/Tempelhofer_Feld,
9,1105,1111,Berlin,Location,http://dbpedia.org/resource/Berlin,
9,1150,1166,Tempelhofer Feld,Location,http://de.dbpedia.org/resource/Tempelhofer_Feld,
9,1260,1269,Amsterdam,Location,http://de.dbpedia.org/resource/Amsterdam,
